year,month,value
2015,Jan,126
2016,Jan,117.8
2017,Jan,122.3
2018,Jan,126.5
2019,Jan,124.6
2020,Jan,125.2
2021,Jan,126.5
2022,Jan,140.1
2023,Jan,141.3
2024,Jan,139.4
2015,Feb,125.5
2016,Feb,117.2
2017,Feb,122.7
2018,Feb,126.8
2019,Feb,125.9
2020,Feb,124.3
2021,Feb,128
2022,Feb,142.6
2023,Feb,141
2024,Feb,139.7
2015,Mar,125.3
2016,Mar,117.7
2017,Mar,122.5
2018,Mar,126.5
2019,Mar,126.6
2020,Mar,121.3
2021,Mar,129.9
2022,Mar,146.8
2023,Mar,139.9
2024,Mar,140.5
2015,Apr,125.1
2016,Apr,118.5
2017,Apr,122.8
2018,Apr,127.1
2019,Apr,126.8
2020,Apr,118.2
2021,Apr,131.1
2022,Apr,147.5
2023,Apr,140.3
2024,Apr,141.7
2015,May,126.5
2016,May,119.9
2017,May,122.7
2018,May,128.2
2019,May,127
2020,May,119
2021,May,132.8
2022,May,148.2
2023,May,139.7
2024,May,141.5
2015,Jun,126.6
2016,Jun,120.7
2017,Jun,122.4
2018,Jun,128.2
2019,Jun,125.6
2020,Jun,120.6
2021,Jun,134.2
2022,Jun,148.5
2023,Jun,139.4
2024,Jun,141.6
2015,Jul,125.4
2016,Jul,120.8
2017,Jul,122.2
2018,Jul,128.1
2019,Jul,125.6
2020,Jul,122.1
2021,Jul,134.6
2022,Jul,146.4
2023,Jul,139.4
2024,Jul,141.8
2015,Aug,123.2
2016,Aug,120.5
2017,Aug,122.9
2018,Aug,127.6
2019,Aug,124.9
2020,Aug,123.2
2021,Aug,134.3
2022,Aug,144.6
2023,Aug,140.3
2024,Aug,141.4
2015,Sep,121.9
2016,Sep,120.6
2017,Sep,123.9
2018,Sep,127.7
2019,Sep,125
2020,Sep,123.4
2021,Sep,134.9
2022,Sep,143.1
2023,Sep,141
2024,Sep,140.9
2015,Oct,121.5
2016,Oct,121.2
2017,Oct,124.1
2018,Oct,128.3
2019,Oct,124.5
2020,Oct,123.3
2021,Oct,136.9
2022,Oct,142.7
2023,Oct,140.1
2024,Oct,141.1
2015,Nov,120.8
2016,Nov,121.1
2017,Nov,125.3
2018,Nov,126.2
2019,Nov,124.7
2020,Nov,123.4
2021,Nov,137.9
2022,Nov,141.6
2023,Nov,139.4
2024,Nov,141.3
2015,Dec,119.3
2016,Dec,121.6
2017,Dec,125.5
2018,Dec,124.4
2019,Dec,125
2020,Dec,124.6
2021,Dec,137.4
2022,Dec,141.8
2023,Dec,138.4
2024,Dec,141.4
